,drug_a_name,drug_b_name,cell_line,synergy,fold
BORTEZOMIB_OXALIPLATIN_A375,BORTEZOMIB,OXALIPLATIN,A375,-14.3968790093,2
BORTEZOMIB_OXALIPLATIN_A427,BORTEZOMIB,OXALIPLATIN,A427,-20.6619228201,2
BORTEZOMIB_OXALIPLATIN_CAOV3,BORTEZOMIB,OXALIPLATIN,CAOV3,-35.3204649086,2
BORTEZOMIB_OXALIPLATIN_COLO320DM,BORTEZOMIB,OXALIPLATIN,COLO320DM,-9.6706862542,2
BORTEZOMIB_OXALIPLATIN_DLD1,BORTEZOMIB,OXALIPLATIN,DLD1,2.3947625341,2
BORTEZOMIB_OXALIPLATIN_EFM192B,BORTEZOMIB,OXALIPLATIN,EFM192B,-10.9132315129,2
BORTEZOMIB_OXALIPLATIN_ES2,BORTEZOMIB,OXALIPLATIN,ES2,-18.1737048911,2
BORTEZOMIB_OXALIPLATIN_HCT116,BORTEZOMIB,OXALIPLATIN,HCT116,-2.620694735,2
BORTEZOMIB_OXALIPLATIN_HT144,BORTEZOMIB,OXALIPLATIN,HT144,-8.6446494573,2
BORTEZOMIB_OXALIPLATIN_HT29,BORTEZOMIB,OXALIPLATIN,HT29,-9.2343536254,2
BORTEZOMIB_OXALIPLATIN_KPL1,BORTEZOMIB,OXALIPLATIN,KPL1,3.3314166916,2
BORTEZOMIB_OXALIPLATIN_LNCAP,BORTEZOMIB,OXALIPLATIN,LNCAP,-38.4501475609,2
BORTEZOMIB_OXALIPLATIN_LOVO,BORTEZOMIB,OXALIPLATIN,LOVO,-12.4325014592,2
BORTEZOMIB_OXALIPLATIN_MDAMB436,BORTEZOMIB,OXALIPLATIN,MDAMB436,-4.9706046872,2
BORTEZOMIB_OXALIPLATIN_MSTO,BORTEZOMIB,OXALIPLATIN,MSTO,57.3472202282,2
BORTEZOMIB_OXALIPLATIN_NCIH1650,BORTEZOMIB,OXALIPLATIN,NCIH1650,-19.2090135213,2
BORTEZOMIB_OXALIPLATIN_NCIH2122,BORTEZOMIB,OXALIPLATIN,NCIH2122,3.8037568301,2
BORTEZOMIB_OXALIPLATIN_NCIH23,BORTEZOMIB,OXALIPLATIN,NCIH23,-16.0151765125,2
BORTEZOMIB_OXALIPLATIN_NCIH460,BORTEZOMIB,OXALIPLATIN,NCIH460,-32.0386361863,2
BORTEZOMIB_OXALIPLATIN_NCIH520,BORTEZOMIB,OXALIPLATIN,NCIH520,-25.4808281285,2
BORTEZOMIB_OXALIPLATIN_OCUBM,BORTEZOMIB,OXALIPLATIN,OCUBM,0.8034606869,2
BORTEZOMIB_OXALIPLATIN_OV90,BORTEZOMIB,OXALIPLATIN,OV90,-21.9239790037,2
BORTEZOMIB_OXALIPLATIN_OVCAR3,BORTEZOMIB,OXALIPLATIN,OVCAR3,-5.4946046944,2
BORTEZOMIB_OXALIPLATIN_PA1,BORTEZOMIB,OXALIPLATIN,PA1,-32.6864960987,2
BORTEZOMIB_OXALIPLATIN_RKO,BORTEZOMIB,OXALIPLATIN,RKO,7.137994479,2
BORTEZOMIB_OXALIPLATIN_RPMI7951,BORTEZOMIB,OXALIPLATIN,RPMI7951,-26.002930446,2
BORTEZOMIB_OXALIPLATIN_SKMEL30,BORTEZOMIB,OXALIPLATIN,SKMEL30,-1.6040848755,2
BORTEZOMIB_OXALIPLATIN_SKMES1,BORTEZOMIB,OXALIPLATIN,SKMES1,-34.9389804188,2
BORTEZOMIB_OXALIPLATIN_SKOV3,BORTEZOMIB,OXALIPLATIN,SKOV3,3.3520433387,2
BORTEZOMIB_OXALIPLATIN_SW620,BORTEZOMIB,OXALIPLATIN,SW620,-1.7705538954,2
BORTEZOMIB_OXALIPLATIN_SW837,BORTEZOMIB,OXALIPLATIN,SW837,5.9823862571,2
BORTEZOMIB_OXALIPLATIN_T47D,BORTEZOMIB,OXALIPLATIN,T47D,-37.7465436506,2
BORTEZOMIB_OXALIPLATIN_UACC62,BORTEZOMIB,OXALIPLATIN,UACC62,-10.8182253594,2
BORTEZOMIB_OXALIPLATIN_UWB1289BRCA1,BORTEZOMIB,OXALIPLATIN,UWB1289BRCA1,-6.0658503352,2
BORTEZOMIB_OXALIPLATIN_UWB1289,BORTEZOMIB,OXALIPLATIN,UWB1289,-20.7825554661,2
BORTEZOMIB_OXALIPLATIN_VCAP,BORTEZOMIB,OXALIPLATIN,VCAP,-3.6936649621,2
BORTEZOMIB_OXALIPLATIN_ZR751,BORTEZOMIB,OXALIPLATIN,ZR751,-30.6487319443,2
BORTEZOMIB_SN-38_A2058,BORTEZOMIB,SN-38,A2058,28.0928624372,2
BORTEZOMIB_SN-38_A2780,BORTEZOMIB,SN-38,A2780,-22.7412535904,2
BORTEZOMIB_SN-38_A375,BORTEZOMIB,SN-38,A375,26.7547880905,2
BORTEZOMIB_SN-38_A427,BORTEZOMIB,SN-38,A427,-9.7591487237,2
BORTEZOMIB_SN-38_CAOV3,BORTEZOMIB,SN-38,CAOV3,-36.2108951928,2
BORTEZOMIB_SN-38_COLO320DM,BORTEZOMIB,SN-38,COLO320DM,-1.909821882,2
BORTEZOMIB_SN-38_DLD1,BORTEZOMIB,SN-38,DLD1,5.3060028454,2
BORTEZOMIB_SN-38_EFM192B,BORTEZOMIB,SN-38,EFM192B,-1.8160989587,2
BORTEZOMIB_SN-38_ES2,BORTEZOMIB,SN-38,ES2,-27.1757899885,2
BORTEZOMIB_SN-38_HCT116,BORTEZOMIB,SN-38,HCT116,0.2521683931,2
BORTEZOMIB_SN-38_HT144,BORTEZOMIB,SN-38,HT144,-5.1676531845,2
BORTEZOMIB_SN-38_HT29,BORTEZOMIB,SN-38,HT29,-22.6247492867,2
BORTEZOMIB_SN-38_KPL1,BORTEZOMIB,SN-38,KPL1,8.1617002159,2
BORTEZOMIB_SN-38_LNCAP,BORTEZOMIB,SN-38,LNCAP,9.9371090945,2
BORTEZOMIB_SN-38_LOVO,BORTEZOMIB,SN-38,LOVO,11.5858005014,2
BORTEZOMIB_SN-38_MDAMB436,BORTEZOMIB,SN-38,MDAMB436,2.9171093748,2
BORTEZOMIB_SN-38_MSTO,BORTEZOMIB,SN-38,MSTO,64.7509207329,2
BORTEZOMIB_SN-38_NCIH1650,BORTEZOMIB,SN-38,NCIH1650,-17.3548030831,2
BORTEZOMIB_SN-38_NCIH2122,BORTEZOMIB,SN-38,NCIH2122,-3.1706248038,2
BORTEZOMIB_SN-38_NCIH23,BORTEZOMIB,SN-38,NCIH23,-7.15582119,2
BORTEZOMIB_SN-38_NCIH460,BORTEZOMIB,SN-38,NCIH460,12.9078169749,2
BORTEZOMIB_SN-38_NCIH520,BORTEZOMIB,SN-38,NCIH520,-36.0663746365,2
BORTEZOMIB_SN-38_OCUBM,BORTEZOMIB,SN-38,OCUBM,14.424314242,2
BORTEZOMIB_SN-38_OV90,BORTEZOMIB,SN-38,OV90,-23.9265426807,2
BORTEZOMIB_SN-38_OVCAR3,BORTEZOMIB,SN-38,OVCAR3,14.5864766634,2
BORTEZOMIB_SN-38_PA1,BORTEZOMIB,SN-38,PA1,-22.3877866357,2
BORTEZOMIB_SN-38_RKO,BORTEZOMIB,SN-38,RKO,15.1714593102,2
BORTEZOMIB_SN-38_RPMI7951,BORTEZOMIB,SN-38,RPMI7951,-14.9578214914,2
BORTEZOMIB_SN-38_SKMEL30,BORTEZOMIB,SN-38,SKMEL30,-13.0243512546,2
BORTEZOMIB_SN-38_SKMES1,BORTEZOMIB,SN-38,SKMES1,-10.9502671364,2
BORTEZOMIB_SN-38_SKOV3,BORTEZOMIB,SN-38,SKOV3,-11.0032016134,2
BORTEZOMIB_SN-38_SW620,BORTEZOMIB,SN-38,SW620,-1.3346218754,2
BORTEZOMIB_SN-38_SW837,BORTEZOMIB,SN-38,SW837,-5.7383438753,2
BORTEZOMIB_SN-38_T47D,BORTEZOMIB,SN-38,T47D,-11.0528206128,2
BORTEZOMIB_SN-38_UACC62,BORTEZOMIB,SN-38,UACC62,-12.1159668615,2
BORTEZOMIB_SN-38_UWB1289BRCA1,BORTEZOMIB,SN-38,UWB1289BRCA1,3.6232778849,2
BORTEZOMIB_SN-38_UWB1289,BORTEZOMIB,SN-38,UWB1289,-23.3492121348,2
BORTEZOMIB_SN-38_VCAP,BORTEZOMIB,SN-38,VCAP,7.5009647182,2
BORTEZOMIB_SN-38_ZR751,BORTEZOMIB,SN-38,ZR751,1.9699858376,2
BORTEZOMIB_SORAFENIB_A2058,BORTEZOMIB,SORAFENIB,A2058,5.6802129162,1
BORTEZOMIB_SORAFENIB_A2780,BORTEZOMIB,SORAFENIB,A2780,-9.6181583365,1
BORTEZOMIB_SORAFENIB_A375,BORTEZOMIB,SORAFENIB,A375,-1.5107916969,1
BORTEZOMIB_SORAFENIB_A427,BORTEZOMIB,SORAFENIB,A427,-0.5195874504,1
BORTEZOMIB_SORAFENIB_CAOV3,BORTEZOMIB,SORAFENIB,CAOV3,-32.2038816843,1
BORTEZOMIB_SORAFENIB_COLO320DM,BORTEZOMIB,SORAFENIB,COLO320DM,-19.2673570424,1
BORTEZOMIB_SORAFENIB_DLD1,BORTEZOMIB,SORAFENIB,DLD1,-1.7447988949,1
BORTEZOMIB_SORAFENIB_EFM192B,BORTEZOMIB,SORAFENIB,EFM192B,-11.9380772996,1
BORTEZOMIB_SORAFENIB_ES2,BORTEZOMIB,SORAFENIB,ES2,-23.7451074229,1
BORTEZOMIB_SORAFENIB_HCT116,BORTEZOMIB,SORAFENIB,HCT116,-4.8966532565,1
BORTEZOMIB_SORAFENIB_HT144,BORTEZOMIB,SORAFENIB,HT144,-8.7983933348,1
BORTEZOMIB_SORAFENIB_HT29,BORTEZOMIB,SORAFENIB,HT29,-14.2436971925,1
BORTEZOMIB_SORAFENIB_KPL1,BORTEZOMIB,SORAFENIB,KPL1,-5.8185102296,1
BORTEZOMIB_SORAFENIB_LNCAP,BORTEZOMIB,SORAFENIB,LNCAP,-7.9748406863,1
BORTEZOMIB_SORAFENIB_LOVO,BORTEZOMIB,SORAFENIB,LOVO,-12.1862265094,1
BORTEZOMIB_SORAFENIB_MDAMB436,BORTEZOMIB,SORAFENIB,MDAMB436,-16.9288523923,1
BORTEZOMIB_SORAFENIB_MSTO,BORTEZOMIB,SORAFENIB,MSTO,-20.9058906293,1
BORTEZOMIB_SORAFENIB_NCIH1650,BORTEZOMIB,SORAFENIB,NCIH1650,-11.8976052277,1
BORTEZOMIB_SORAFENIB_NCIH2122,BORTEZOMIB,SORAFENIB,NCIH2122,-14.7945422416,1
BORTEZOMIB_SORAFENIB_NCIH23,BORTEZOMIB,SORAFENIB,NCIH23,-10.4990945232,1
BORTEZOMIB_SORAFENIB_NCIH460,BORTEZOMIB,SORAFENIB,NCIH460,-5.46597089,1
BORTEZOMIB_SORAFENIB_NCIH520,BORTEZOMIB,SORAFENIB,NCIH520,-21.3325054016,1
BORTEZOMIB_SORAFENIB_OCUBM,BORTEZOMIB,SORAFENIB,OCUBM,-2.1251999398,1
BORTEZOMIB_SORAFENIB_OV90,BORTEZOMIB,SORAFENIB,OV90,-12.6723946105,1
BORTEZOMIB_SORAFENIB_OVCAR3,BORTEZOMIB,SORAFENIB,OVCAR3,-27.5087581831,1
BORTEZOMIB_SORAFENIB_PA1,BORTEZOMIB,SORAFENIB,PA1,-10.6637646924,1
BORTEZOMIB_SORAFENIB_RKO,BORTEZOMIB,SORAFENIB,RKO,-2.6312824308,1
BORTEZOMIB_SORAFENIB_RPMI7951,BORTEZOMIB,SORAFENIB,RPMI7951,-20.1578807437,1
BORTEZOMIB_SORAFENIB_SKMEL30,BORTEZOMIB,SORAFENIB,SKMEL30,-3.1182195036,1
BORTEZOMIB_SORAFENIB_SKMES1,BORTEZOMIB,SORAFENIB,SKMES1,-18.675375742,1
BORTEZOMIB_SORAFENIB_SKOV3,BORTEZOMIB,SORAFENIB,SKOV3,0.9509449746,1
BORTEZOMIB_SORAFENIB_SW620,BORTEZOMIB,SORAFENIB,SW620,4.0954145727,1
BORTEZOMIB_SORAFENIB_SW837,BORTEZOMIB,SORAFENIB,SW837,-4.0213985715,1
BORTEZOMIB_SORAFENIB_T47D,BORTEZOMIB,SORAFENIB,T47D,-6.7482862094,1
BORTEZOMIB_SORAFENIB_UACC62,BORTEZOMIB,SORAFENIB,UACC62,-11.4010449609,1
BORTEZOMIB_SORAFENIB_UWB1289BRCA1,BORTEZOMIB,SORAFENIB,UWB1289BRCA1,-9.0047234718,1
BORTEZOMIB_SORAFENIB_UWB1289,BORTEZOMIB,SORAFENIB,UWB1289,-9.9393586243,1
BORTEZOMIB_SORAFENIB_VCAP,BORTEZOMIB,SORAFENIB,VCAP,-20.6807748622,1
BORTEZOMIB_SORAFENIB_ZR751,BORTEZOMIB,SORAFENIB,ZR751,-27.0469457197,1
BORTEZOMIB_TOPOTECAN_A2058,BORTEZOMIB,TOPOTECAN,A2058,-12.1881843756,3
BORTEZOMIB_TOPOTECAN_A2780,BORTEZOMIB,TOPOTECAN,A2780,-2.5878997349,3
BORTEZOMIB_TOPOTECAN_A375,BORTEZOMIB,TOPOTECAN,A375,-52.7833151416,3
BORTEZOMIB_TOPOTECAN_A427,BORTEZOMIB,TOPOTECAN,A427,-0.0054900453,3
BORTEZOMIB_TOPOTECAN_CAOV3,BORTEZOMIB,TOPOTECAN,CAOV3,-3.8963995755,3
BORTEZOMIB_TOPOTECAN_COLO320DM,BORTEZOMIB,TOPOTECAN,COLO320DM,-11.9653442483,3
BORTEZOMIB_TOPOTECAN_DLD1,BORTEZOMIB,TOPOTECAN,DLD1,9.2112571726,3
BORTEZOMIB_TOPOTECAN_EFM192B,BORTEZOMIB,TOPOTECAN,EFM192B,-23.4432987169,3
BORTEZOMIB_TOPOTECAN_ES2,BORTEZOMIB,TOPOTECAN,ES2,-21.458330338,3
BORTEZOMIB_TOPOTECAN_HCT116,BORTEZOMIB,TOPOTECAN,HCT116,-2.1976185632,3
BORTEZOMIB_TOPOTECAN_HT144,BORTEZOMIB,TOPOTECAN,HT144,-5.6845280502,3
BORTEZOMIB_TOPOTECAN_HT29,BORTEZOMIB,TOPOTECAN,HT29,-18.1815799205,3
BORTEZOMIB_TOPOTECAN_KPL1,BORTEZOMIB,TOPOTECAN,KPL1,7.565814879,3
BORTEZOMIB_TOPOTECAN_LNCAP,BORTEZOMIB,TOPOTECAN,LNCAP,-16.8464289021,3
BORTEZOMIB_TOPOTECAN_LOVO,BORTEZOMIB,TOPOTECAN,LOVO,0.5583294375,3
BORTEZOMIB_TOPOTECAN_MDAMB436,BORTEZOMIB,TOPOTECAN,MDAMB436,0.9905856993,3
BORTEZOMIB_TOPOTECAN_MSTO,BORTEZOMIB,TOPOTECAN,MSTO,21.7663740853,3
BORTEZOMIB_TOPOTECAN_NCIH1650,BORTEZOMIB,TOPOTECAN,NCIH1650,-37.3530637488,3
BORTEZOMIB_TOPOTECAN_NCIH2122,BORTEZOMIB,TOPOTECAN,NCIH2122,-8.7765820691,3
BORTEZOMIB_TOPOTECAN_NCIH23,BORTEZOMIB,TOPOTECAN,NCIH23,-17.177115561,3
BORTEZOMIB_TOPOTECAN_NCIH460,BORTEZOMIB,TOPOTECAN,NCIH460,-33.8197498256,3
BORTEZOMIB_TOPOTECAN_NCIH520,BORTEZOMIB,TOPOTECAN,NCIH520,-22.4500513596,3
BORTEZOMIB_TOPOTECAN_OCUBM,BORTEZOMIB,TOPOTECAN,OCUBM,-8.4810726356,3
BORTEZOMIB_TOPOTECAN_OV90,BORTEZOMIB,TOPOTECAN,OV90,-12.2042724832,3
BORTEZOMIB_TOPOTECAN_OVCAR3,BORTEZOMIB,TOPOTECAN,OVCAR3,-15.350021766,3
BORTEZOMIB_TOPOTECAN_PA1,BORTEZOMIB,TOPOTECAN,PA1,-13.7875959693,3
BORTEZOMIB_TOPOTECAN_RKO,BORTEZOMIB,TOPOTECAN,RKO,-3.2109014177,3
BORTEZOMIB_TOPOTECAN_RPMI7951,BORTEZOMIB,TOPOTECAN,RPMI7951,-6.338895574,3
BORTEZOMIB_TOPOTECAN_SKMEL30,BORTEZOMIB,TOPOTECAN,SKMEL30,-4.762114246,3
BORTEZOMIB_TOPOTECAN_SKMES1,BORTEZOMIB,TOPOTECAN,SKMES1,-28.9427255545,3
BORTEZOMIB_TOPOTECAN_SKOV3,BORTEZOMIB,TOPOTECAN,SKOV3,-10.785589607,3
BORTEZOMIB_TOPOTECAN_SW620,BORTEZOMIB,TOPOTECAN,SW620,7.7471415942,3
BORTEZOMIB_TOPOTECAN_SW837,BORTEZOMIB,TOPOTECAN,SW837,5.6874713997,3
BORTEZOMIB_TOPOTECAN_T47D,BORTEZOMIB,TOPOTECAN,T47D,-0.6820788916,3
BORTEZOMIB_TOPOTECAN_UACC62,BORTEZOMIB,TOPOTECAN,UACC62,-1.4980088864,3
BORTEZOMIB_TOPOTECAN_UWB1289BRCA1,BORTEZOMIB,TOPOTECAN,UWB1289BRCA1,-1.8774829778,3
BORTEZOMIB_TOPOTECAN_UWB1289,BORTEZOMIB,TOPOTECAN,UWB1289,-8.5351846622,3
BORTEZOMIB_TOPOTECAN_VCAP,BORTEZOMIB,TOPOTECAN,VCAP,-13.3192031697,3
BORTEZOMIB_TOPOTECAN_ZR751,BORTEZOMIB,TOPOTECAN,ZR751,-22.4135303565,3
CARBOPLATIN_ABT-888_A2058,CARBOPLATIN,ABT-888,A2058,2.7198664064,1
CARBOPLATIN_ABT-888_A2780,CARBOPLATIN,ABT-888,A2780,14.4729809807,1
CARBOPLATIN_ABT-888_A375,CARBOPLATIN,ABT-888,A375,5.9307290554,1
CARBOPLATIN_ABT-888_A427,CARBOPLATIN,ABT-888,A427,-9.0821472857,1
CARBOPLATIN_ABT-888_CAOV3,CARBOPLATIN,ABT-888,CAOV3,-1.5051828683,1
CARBOPLATIN_ABT-888_COLO320DM,CARBOPLATIN,ABT-888,COLO320DM,15.3670056162,1
CARBOPLATIN_ABT-888_DLD1,CARBOPLATIN,ABT-888,DLD1,0.5462810972,1
CARBOPLATIN_ABT-888_EFM192B,CARBOPLATIN,ABT-888,EFM192B,16.0374697279,1
CARBOPLATIN_ABT-888_ES2,CARBOPLATIN,ABT-888,ES2,-6.6503639485,1
CARBOPLATIN_ABT-888_HCT116,CARBOPLATIN,ABT-888,HCT116,16.740636541,1
CARBOPLATIN_ABT-888_HT144,CARBOPLATIN,ABT-888,HT144,6.3997247103,1
CARBOPLATIN_ABT-888_HT29,CARBOPLATIN,ABT-888,HT29,0.7672246046,1
CARBOPLATIN_ABT-888_KPL1,CARBOPLATIN,ABT-888,KPL1,12.8054309578,1
CARBOPLATIN_ABT-888_LNCAP,CARBOPLATIN,ABT-888,LNCAP,-27.4904139858,1
CARBOPLATIN_ABT-888_LOVO,CARBOPLATIN,ABT-888,LOVO,3.6382118134,1
CARBOPLATIN_ABT-888_MDAMB436,CARBOPLATIN,ABT-888,MDAMB436,8.5776318769,1
CARBOPLATIN_ABT-888_MSTO,CARBOPLATIN,ABT-888,MSTO,11.8153939932,1
CARBOPLATIN_ABT-888_NCIH1650,CARBOPLATIN,ABT-888,NCIH1650,-2.5271519643,1
CARBOPLATIN_ABT-888_NCIH2122,CARBOPLATIN,ABT-888,NCIH2122,6.4151107855,1
CARBOPLATIN_ABT-888_NCIH23,CARBOPLATIN,ABT-888,NCIH23,-2.1413831826,1
CARBOPLATIN_ABT-888_NCIH460,CARBOPLATIN,ABT-888,NCIH460,3.1290490477,1
CARBOPLATIN_ABT-888_NCIH520,CARBOPLATIN,ABT-888,NCIH520,-5.6283676948,1
CARBOPLATIN_ABT-888_OCUBM,CARBOPLATIN,ABT-888,OCUBM,39.4669400797,1
CARBOPLATIN_ABT-888_OV90,CARBOPLATIN,ABT-888,OV90,-5.3178173467,1
CARBOPLATIN_ABT-888_OVCAR3,CARBOPLATIN,ABT-888,OVCAR3,-14.5349804361,1
CARBOPLATIN_ABT-888_PA1,CARBOPLATIN,ABT-888,PA1,3.5319957857,1
CARBOPLATIN_ABT-888_RKO,CARBOPLATIN,ABT-888,RKO,30.1128108957,1
CARBOPLATIN_ABT-888_RPMI7951,CARBOPLATIN,ABT-888,RPMI7951,-12.8421296123,1
CARBOPLATIN_ABT-888_SKMEL30,CARBOPLATIN,ABT-888,SKMEL30,15.7047012989,1
CARBOPLATIN_ABT-888_SKMES1,CARBOPLATIN,ABT-888,SKMES1,-3.4748360457,1
CARBOPLATIN_ABT-888_SKOV3,CARBOPLATIN,ABT-888,SKOV3,-0.5494311432,1
CARBOPLATIN_ABT-888_SW620,CARBOPLATIN,ABT-888,SW620,7.5385924121,1
CARBOPLATIN_ABT-888_SW837,CARBOPLATIN,ABT-888,SW837,-8.4876305611,1
CARBOPLATIN_ABT-888_T47D,CARBOPLATIN,ABT-888,T47D,-72.7582640877,1
CARBOPLATIN_ABT-888_UACC62,CARBOPLATIN,ABT-888,UACC62,16.1967197901,1
CARBOPLATIN_ABT-888_UWB1289BRCA1,CARBOPLATIN,ABT-888,UWB1289BRCA1,-10.6314252398,1
CARBOPLATIN_ABT-888_UWB1289,CARBOPLATIN,ABT-888,UWB1289,-9.7516595941,1
CARBOPLATIN_ABT-888_VCAP,CARBOPLATIN,ABT-888,VCAP,1.4305425494,1
CARBOPLATIN_ABT-888_ZR751,CARBOPLATIN,ABT-888,ZR751,8.8111544141,1
CARBOPLATIN_AZD1775_A2058,CARBOPLATIN,AZD1775,A2058,2.0968501681,0
CARBOPLATIN_AZD1775_A2780,CARBOPLATIN,AZD1775,A2780,5.8641025621,0
CARBOPLATIN_AZD1775_A375,CARBOPLATIN,AZD1775,A375,7.1392648729,0
CARBOPLATIN_AZD1775_A427,CARBOPLATIN,AZD1775,A427,2.4050431971,0
CARBOPLATIN_AZD1775_CAOV3,CARBOPLATIN,AZD1775,CAOV3,4.213649268,0
CARBOPLATIN_AZD1775_COLO320DM,CARBOPLATIN,AZD1775,COLO320DM,0.5757722338,0
CARBOPLATIN_AZD1775_DLD1,CARBOPLATIN,AZD1775,DLD1,-5.4347466834,0
CARBOPLATIN_AZD1775_EFM192B,CARBOPLATIN,AZD1775,EFM192B,4.5801693314,0
CARBOPLATIN_AZD1775_ES2,CARBOPLATIN,AZD1775,ES2,4.7396745113,0
CARBOPLATIN_AZD1775_HCT116,CARBOPLATIN,AZD1775,HCT116,7.1952911783,0
CARBOPLATIN_AZD1775_HT144,CARBOPLATIN,AZD1775,HT144,6.5992240404,0
CARBOPLATIN_AZD1775_HT29,CARBOPLATIN,AZD1775,HT29,12.2923640192,0
CARBOPLATIN_AZD1775_KPL1,CARBOPLATIN,AZD1775,KPL1,10.6569636804,0
CARBOPLATIN_AZD1775_LNCAP,CARBOPLATIN,AZD1775,LNCAP,-4.7608457572,0
CARBOPLATIN_AZD1775_LOVO,CARBOPLATIN,AZD1775,LOVO,1.0369127995,0
CARBOPLATIN_AZD1775_MDAMB436,CARBOPLATIN,AZD1775,MDAMB436,11.6873839456,0
CARBOPLATIN_AZD1775_MSTO,CARBOPLATIN,AZD1775,MSTO,-7.7132551361,0
CARBOPLATIN_AZD1775_NCIH1650,CARBOPLATIN,AZD1775,NCIH1650,20.6054328456,0
CARBOPLATIN_AZD1775_NCIH2122,CARBOPLATIN,AZD1775,NCIH2122,-2.8559478215,0
CARBOPLATIN_AZD1775_NCIH23,CARBOPLATIN,AZD1775,NCIH23,-8.6380579175,0
CARBOPLATIN_AZD1775_NCIH460,CARBOPLATIN,AZD1775,NCIH460,4.2291047854,0
CARBOPLATIN_AZD1775_NCIH520,CARBOPLATIN,AZD1775,NCIH520,-0.6522690825,0
CARBOPLATIN_AZD1775_OCUBM,CARBOPLATIN,AZD1775,OCUBM,19.3264659486,0
CARBOPLATIN_AZD1775_OV90,CARBOPLATIN,AZD1775,OV90,-6.1750860857,0
CARBOPLATIN_AZD1775_OVCAR3,CARBOPLATIN,AZD1775,OVCAR3,43.8244781823,0
CARBOPLATIN_AZD1775_PA1,CARBOPLATIN,AZD1775,PA1,12.0141756246,0
CARBOPLATIN_AZD1775_RKO,CARBOPLATIN,AZD1775,RKO,11.3336169165,0
CARBOPLATIN_AZD1775_RPMI7951,CARBOPLATIN,AZD1775,RPMI7951,7.2443794803,0
CARBOPLATIN_AZD1775_SKMEL30,CARBOPLATIN,AZD1775,SKMEL30,10.4911730399,0
CARBOPLATIN_AZD1775_SKMES1,CARBOPLATIN,AZD1775,SKMES1,5.7825221549,0
CARBOPLATIN_AZD1775_SKOV3,CARBOPLATIN,AZD1775,SKOV3,18.2623282381,0
CARBOPLATIN_AZD1775_SW620,CARBOPLATIN,AZD1775,SW620,-5.3267989279,0
CARBOPLATIN_AZD1775_SW837,CARBOPLATIN,AZD1775,SW837,5.3360963656,0
CARBOPLATIN_AZD1775_T47D,CARBOPLATIN,AZD1775,T47D,-6.1506399112,0
CARBOPLATIN_AZD1775_UACC62,CARBOPLATIN,AZD1775,UACC62,8.5264622423,0
CARBOPLATIN_AZD1775_UWB1289BRCA1,CARBOPLATIN,AZD1775,UWB1289BRCA1,4.5487499126,0
CARBOPLATIN_AZD1775_UWB1289,CARBOPLATIN,AZD1775,UWB1289,70.1514130597,0
CARBOPLATIN_AZD1775_VCAP,CARBOPLATIN,AZD1775,VCAP,-0.9669990318,0
CARBOPLATIN_AZD1775_ZR751,CARBOPLATIN,AZD1775,ZR751,-5.6601025758,0
CARBOPLATIN_BEZ-235_A2058,CARBOPLATIN,BEZ-235,A2058,-6.0745276072,2
CARBOPLATIN_BEZ-235_A2780,CARBOPLATIN,BEZ-235,A2780,22.4066740424,2
CARBOPLATIN_BEZ-235_A375,CARBOPLATIN,BEZ-235,A375,61.5926017591,2
CARBOPLATIN_BEZ-235_A427,CARBOPLATIN,BEZ-235,A427,15.6351920195,2
CARBOPLATIN_BEZ-235_CAOV3,CARBOPLATIN,BEZ-235,CAOV3,26.1742320848,2
CARBOPLATIN_BEZ-235_COLO320DM,CARBOPLATIN,BEZ-235,COLO320DM,27.9471237792,2
CARBOPLATIN_BEZ-235_DLD1,CARBOPLATIN,BEZ-235,DLD1,25.0051933578,2
CARBOPLATIN_BEZ-235_EFM192B,CARBOPLATIN,BEZ-235,EFM192B,8.7673797663,2
CARBOPLATIN_BEZ-235_ES2,CARBOPLATIN,BEZ-235,ES2,18.7488881991,2
CARBOPLATIN_BEZ-235_HCT116,CARBOPLATIN,BEZ-235,HCT116,35.4463465928,2
CARBOPLATIN_BEZ-235_HT144,CARBOPLATIN,BEZ-235,HT144,26.6310827464,2
CARBOPLATIN_BEZ-235_HT29,CARBOPLATIN,BEZ-235,HT29,33.24999869,2
CARBOPLATIN_BEZ-235_KPL1,CARBOPLATIN,BEZ-235,KPL1,28.4184918179,2
CARBOPLATIN_BEZ-235_LNCAP,CARBOPLATIN,BEZ-235,LNCAP,51.336441682,2
CARBOPLATIN_BEZ-235_LOVO,CARBOPLATIN,BEZ-235,LOVO,30.0107267419,2
CARBOPLATIN_BEZ-235_MDAMB436,CARBOPLATIN,BEZ-235,MDAMB436,29.0313462635,2
CARBOPLATIN_BEZ-235_MSTO,CARBOPLATIN,BEZ-235,MSTO,1.1585000829,2
CARBOPLATIN_BEZ-235_NCIH1650,CARBOPLATIN,BEZ-235,NCIH1650,29.9131551793,2
CARBOPLATIN_BEZ-235_NCIH2122,CARBOPLATIN,BEZ-235,NCIH2122,16.5531133177,2
CARBOPLATIN_BEZ-235_NCIH23,CARBOPLATIN,BEZ-235,NCIH23,42.1814269663,2
CARBOPLATIN_BEZ-235_NCIH460,CARBOPLATIN,BEZ-235,NCIH460,62.996079982,2
CARBOPLATIN_BEZ-235_NCIH520,CARBOPLATIN,BEZ-235,NCIH520,27.2399196763,2
